Title,Year Published,Abstracts,professionalism,,,participants,,practices,,,exemplar,exemplar code
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Advertising in disguise? How disclosure and content features influence the effects of native advertising ,2020,"Native advertising has recently become a prominent buzzword for advertisers and publishers alike. It describes advertising formats which closely adapt their form and style to the editorial environment they appear in, intending to hide the commercial character of these ads. In two experimental studies, we test how advertising disclosures in native ads on news websites affect recipients’ attitudes towards a promoted brand in a short and long-term perspective. In addition, we explore persuasion through certain content features (i. e., message sidedness and use of exemplars) and how they affect disclosure effects. Results show that disclosures increase perceived persuasive intent but do not necessarily decrease brand attitudes. However, disclosure effects do not persist over time and remain unaffected by content features. ",0,0,1,0,1,1,1,0,"""affect recipients' attitudes"" ",
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
News in an Era of Content Confusion: Effects of News Use Motivations and Context on Native Advertising and Digital News Perceptions,2020,"This study examined the effects of news use motivations and differing native advertising contexts (hard vs. soft news) on the ability to perceive commercialized content, evaluations of native advertising, and ensuing digital news perceptions. Based upon the framework of the persuasion knowledge model, an online experiment was conducted among a sample of U.S. adults (N = 684). Engaging with news for informational motivations conditioned perceptions of advertising as did the contextual effects of hard versus soft news. Furthermore, hard-news approaches to native advertising were perceived more unfavorably by audiences and tarnished the subsequent reporting of actual journalists.",0,1,0,0,1,0,1,0,"""ability to perceive coommercialized content"" - PCD
""US adults"" - PP2
""tarnished the reporting of actual journalists"" - PFV",
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
The other ‘fake’ news: Professional ideals and objectivity ambitions in brand journalism,2019,"The recent ascendance of brand journalism – whereby corporations employ news-like labor and means to court consumers and cultivate consciousness – raises serious concerns about the church–state boundary, as well as other long-standing press ideals such as objectivity and social responsibility. This article examines the fate of those practices and ambitions, as articulated by the professionals involved in the production of this quasi-reportorial, quasi-advertising content. The method of inquiry relies upon 28 in-depth interviews with those who manage and work in native advertising and content marketing in the United States, as well as extensive trade press coverage of the phenomenon, to understand the principles they profess and the adaptations they have undergone in transitioning from traditional editorial to now more commercial employment. It concludes with a political economy critique of what these corporate aspirations might cost the information credibility and democratic potential of the news genre.",0,1,0,1,0,0,0,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
The Role Performance of Native Advertising in Legacy and Digital-Only News Media ,2019,"This study compares the role performance of native advertising on the websites of legacy news media and digital-only news media in the United States. Instead of analyzing discourses and rhetorics about native advertising, this study concentrates on the content characteristics of native advertising to infer its roles oriented to audiences. The study finds that native ads on the selected media sites have more emphasis on the service role than the civic and infortainment roles. The digital-only media sites have native ads with more emphasis on the service and infortainment roles than those in the legacy media sites, whereas the legacy media sites have native ads with more emphasis on the civic role than its counterparts in the digital-only media sites. However, native advertising lacks independent and transparent sources of information. Nearly half of the native ads on the legacy media sites reply on sponsor-affiliated sources, and more than half of the native ads on the digital-only media sites lack attributions for sources of information.",0,0,1,0,1,1,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Contest Over Authority: Navigating native advertising’s impacts on journalism autonomy,2019,"This study explores how editors and business executives discursively renegotiated the boundary of authority in the wave of integrating native advertising at nine US publishers across five years. The findings demonstrate an overwhelmingly pro-business voice that legitimized native advertising as an innovation to increase revenue, advertisers’ interest, audience engagement, and even editorial quality. By contrast, the pro-editorial voice that resisted the integration inside the organizations was scattered and muted and gradually turned into a collaboration with the business side, while the industrial debate remained critical and unsettled on editorial involvement in content marketing. The dilution of the editorial–business boundary in those organizations suggests that journalistic autonomy was lessened from within—the autonomous force of journalism submitted authority to the heteronomous force of journalism.",0,1,0,1,0,0,0,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Brand disclosure and source partiality affect native advertising recognition and media credibility ,2019,This study explores how textual characteristics of native advertising affected audiences’ advertising recognition and perceived message credibility and media channel credibility. Findings show that repeated mentioning of brand names increased audiences’ advertising recognition but did not affect perceived message credibility or media credibility. Using sponsor-affiliated sources increased audiences’ advertising recognition but decreased perceived message credibility and media credibility. The study recommends frequent and early sponsorship disclosure and cautions against using sponsor-affiliated sources in native advertising.,0,0,0,0,1,0,1,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Interplay of content type and product type in the consumer response to native advertising on social media ,2019,"With the growth of consumer skepticism toward advertising, marketers have begun implementing native advertising. Drawing on the Persuasion Knowledge Model (PKM), this study examines how content type interacts with product type to influence consumer responses toward native advertising (persuasion knowledge, brand attitude, and intention to click ‘like’) on Facebook. A 2(content type: informative versus entertaining) _ 2 (product type: utilitarian versus hedonic) between-subjects experimental study was conducted with a total of 155 college-attending Facebook users in South Korea. The results show that, for utilitarian products, informative content elicits more favorable consumer responses than entertaining content does. However, consumer responses are similar between informative and entertaining content for hedonic products. Furthermore, this study demonstrates that consumer persuasion knowledge mediates the interaction effects of content type and product type on consumer responses. Theoretical and practical implications are also discussed.",0,0,1,0,1,1,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
When politicians go native: The consequences of political native advertising for citizens’ trust in news ,2019,"Declining revenues from offline and online ads has led publishers to pursue new avenues, such as native advertising: camouflaging ads as news. Critics of native advertising claim that this form of advertising blurs the boundaries between editorial and commercial content, and can reduce the audiences’ trust in editorial content. However, little research has assessed the possible effects of native ads on audiences’ trust in news. With an experimental design embedded in an online survey (N = 733) representative of the Norwegian population, this study explores the consequences of political native advertising for citizens’ trust in political news. This article discusses how political native advertising poses a challenge to the boundary between journalism and advertising as well as the boundary between journalism and powerful elites. Our study examines (1) how prominently native advertisements should be labelled in order for readers to recognize them as advertising content and (2) whether exposure to such ads reduces readers’ trust in political news. Our most important finding shows that when explicitly labelled, native advertising by political parties can reduce people’s trust in political news.",0,1,0,0,1,0,1,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Native advertising and the cultivation of counterfeit news ,2019,"It has long been an article of faith that while advertising subsidizes news and other editorial content, it stands alone in its appearance and appeal. As early as the late 1880s, years before the professionalization of journalism began to manifest itself in codes of ethics and other expressions of newsroom norms, Charles A. Dana, for nearly three decades, the prominent and influential owner and editor of the New York Sun, proffered his own eight ‘maxims or professional rules’, one of which made clear the importance of keeping news and advertising separate and distinct: ‘Never print a paid advertisement as news matter. Let every advertisement appear as an advertisement; no sailing under false colors’ (quoted by Dicken-Garcia, 1989: 220). ",0,1,0,1,0,0,1,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Reducing Native Advertising Deception: Revisiting the Antecedents and Consequences of Persuasion Knowledge in Digital News Contexts ,2019,"Building on the persuasion knowledge model, this study examines how audience characteristics and native advertising recognition influence the covert persuasion process. Among a nationally representative sample of U.S. adults (N = 738), we examined digital news readers’ recognition of a sponsored news article as advertising. Although fewer than 1 in 10 readers recognized the article as advertising, recognition was most likely among younger, more educated consumers who engaged with news media for informational purposes. Recognition led to greater counterarguing, and higher levels of informational motivation also led to less favorable evaluations of the content among recognizers. News consumers were most receptive to native advertising in a digital news context when publishers were more transparent about its commercial nature. Beyond theoretical insights into the covert persuasion process, this study offers practical utility to the advertisers, publishers, and policymakers who wish to better understand who is more likely to be confused by this type of advertising so that they can take steps to minimize deception.",0,0,0,0,1,0,1,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Political Advertising Camouflage as News ,2018,"Advanced technology has significantly influenced media and their environment, including their audience and advertisers. The changes have forced the media to rethink their business model. Native advertising, undisruptive advertising that looks like the original content of the media, is one of the new advertising forms developed in the past few years. This trend started in Indonesia in 2014 as some big online media offer the native advertising space to the advertisers. In the perspective of Baudrillard’s postmodern view, this is a kind of simulation which may lead to the death of the reality. This study seeks to find the way news simulation work in Indonesian online media advertising. The result shows that the packaging, the placement, and the minimum disclosure of political native advertising have blurred the separation between commercial and editorial content. Analyzing from Baudrillard’s perspective, this news simulation is at the second stage of simulation, or evil appearance, in which people can no longer differentiate between the real news and the advertising which simulate the news. ",0,1,0,1,1,0,0,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Journalism Hits a Wall: Rhetorical construction of newspapers’ editorial and advertising relationship,2018,This study analyzes how business and editorial staff members at US newspapers rhetorically construct or deconstruct the metaphoric norm of a wall or line of separation between news and advertising functions. The study is based on 18 in-depth interviews with news and advertising professionals at middle-market US newspapers and the subsequent analysis of their rhetoric about the relationship between the news and advertising sides of their organizations. The study seeks to understand the rhetorical construction of an institutional norm and our observations are focused on the organization level. This study aids understanding of two related phenomena: how institutional norms are rhetorically constructed and how norms are rhetorically renegotiated or deconstructed.,0,1,0,1,0,0,0,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
The effects of disclosure format on native advertising recognition and audience perceptions of legacy and online news publishers ,2018,"This experiment with a representative sample of US adults (N=800) examines the effects of disclosure design characteristics in sponsored news on readers’ ability to recognize such content as paid advertising, and examines whether such recognition differently affects perceptions of legacy and digital-first publishers. Although fewer than 1 in 10 participants were able to recognize native advertising, our study shows that effectively designed disclosure labels facilitate recognition. However, participants who did recognize native advertising had lessened opinions of the publisher and the institution of advertising, overall.",0,1,0,0,1,0,1,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
"Saving Media or Trading on Trust? - 
The effects of native advertising on audience perceptions of legacy and online news publishers",2018,"Extending research from Wojdynski and Evans, this experimental study replicates the challenges of effectively disclosing native advertising to readers and demonstrates a promising inoculation method that increases likelihood of recognition. Moreover, this quantitative research indicates that both legacy and online news publishers were evaluated less favorably for displaying native advertising. Attitudes toward the publisher and perceptions of its credibility declined for both, although online publishers suffered greater attitudinal damage than did legacy publishers who may benefit from their established reputation.",0,1,0,0,1,0,1,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Under the Influence: Advertisers’ Impact on the Content of Swiss Free Newspapers ,2017,"The study focuses on whether and to what extent advertisers influence the editorial content of free newspapers in the German part of Switzerland. The contribution analyzes, grounded on an historic approach, the most competitive period in Switzerland, 2008, when not less than five freesheets were competing for advertisers and public attention. By using Altmeppen’s (2006) organizational theory, the paper offers a theoretical frame able to describe the vanishing co-orientation between the media management and the newsroom, a trend that aggravates commercialization processes in news organizations. In a situation of economic turmoil, so the hypothesis, newsrooms are more inclined to positively adapt the valence of their coverage about their main advertisers in order to keep them in the portfolio. Using a content analysis, the author examined the editorial coverage of six among the most important advertisers of Swiss free newspapers, carrying out an aggregated statistical analysis based on logistic regression. The study revealed that free newspapers with a strong market orientation display a higher chance to publish positive facts and evaluations about advertisers with a high advertising expenditure.",0,1,1,1,0,0,0,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
"The Future of Journalism: Risks, threats and opportunities",2016,"Today journalism, as an industry and a profession, is characterised by ever-increasing turbulence and change, for better and for worse. Profound transformations affect every aspect of the institution, including the economic health of journalism, the conditions and self-understandings of its practitioners, its ability to serve as a watchdog on concentrations of power, its engagement with and relationship to its audience, and its future prospects. This emerging and dynamic ecology can be viewed as a unique constellation of challenges and opportunities. For these reasons, the fifth Future of Journalism conference, held in Cardiff on 10–11 September 2015, focused on the theme of Risks, Threats and Opportunities. The conference saw over 120 papers from around the world presented across 34 sessions, with keynote speeches from Dan Gillmor, Stephen Reese and Jean Seaton. This introduction briefly outlines some of these key risks, threats and opportunities, drawing on work presented at the conference, as well as insights from the field of journalism studies.",0,0,0,1,0,0,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
The Business of Slow Journalism: Deep storytelling’s alternative economies,2016,"This study examines the commercial viability of Slow Journalism in light of its recent efforts to reinvent the business model in the news industry today that relies heavily or exclusively on display advertising for revenue. Some Slow Journalism companies, such as De Correspondent and Delayed Gratification, have defiantly positioned themselves in opposition to advertising’s prominent role in mitigating free online news production and consumption, which they argue is both philosophically and financially anathema to the intimate journalist–reader interface. Still others, such as Narratively, have also eliminated display advertisements, but openly embrace brand sponsorship through events, creative agency, and native advertising. Touting visually pleasing high-end production values for immersive reading environments free of distracting display advertisements, many publishers promote a relation in which supply meets demand without undisclosed, conflicting third-party or corporate interest. This research explores the methods by which several prominent Slow Journalism organizations have mobilized a critique of corporate media to strategically communicate their maverick missions. The case studies examine Delayed Gratification, De Correspondent, Narratively, and The Big Roundtable as expressions of Slow Journalism’s experimental approaches to for-profit enterprise through alternative media business models.",0,0,1,1,0,1,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
"When news sites go native: Redefining the 
advertising-editorial divide in response to native advertising ",2015,"Professional journalism’s normative commitment to autonomy has long dictated the separation of editorial functions from advertising. However, the emergent practice of online native advertising complicates this division, resulting in conflicting visions of how journalistic authority should be established for digital news. This study examines reactions to a controversial Church of Scientology native advertisement on the Atlantic web site to assess how competing processes of norm-making and boundary work shape normative understandings of online journalism. Emergent understandings of content comprising both editorial and advertising components require new models for critical inquiry sufficiently sensitive to the online news environment.",0,1,0,1,0,0,0,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Native Advertising and Digital Natives: The Effects of Age and Advertisement Format on News Website Credibility Judgments ,2014,"This study examines the effects that both age and the presence of native advertisements have on credibility judgments toward a news website. The results suggest that the presence of native advertising had no significant effect on the viewer’s perception of credibility. Participants who were exposed to traditional banner-type ads were more likely to report having noticed advertising on the website as compared to those who were exposed to native advertisements, and younger respondents were more likely to notice advertising in general. Older respondents judged the site, regardless of the advertising type shown, as more credible than did their younger counterparts.",0,0,1,0,1,0,1,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
"Audience Response to Brand Journalism: The Effect of Frame, Source, and Involvement ",2013,"This study examined reactions to brand journalism in light of frame, source, and product involvement. Participants in an experimental study viewed a custom magazine with either a commercial (branded) or editorial (nonbranded) frame and read a story quoting either a peer or a corporate source. Readers rated the nonbranded magazine higher in credibility, but source cues had no direct effects on credibility ratings. Source did matter when combined with consumer product involvement. Highly involved consumers had stronger brand attitudes and purchase intent after reading advice from a peer source; low-involved consumers responded more favorably to a corporate source.",0,0,1,0,1,0,1,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
"Journalism embracing advertising as traditional journalism discourse becomes marginal: A comparative study of European MICE (Meetings, Incentives, Conferences and Events) magazines",2012,"The border between journalism and marketing communication is diminishing and media such as television and magazines are especially vulnerable to the colonisation of traditional journalistic genres by promotional information. From the point of view of audience perception, grouping certain media channels or discourses into ‘‘journalistic’’ and others into ‘‘promotional’’ or ‘‘mixed’’ would provide a certain level of predictability, as well as a basis for their judgement of information. However, we argue here that category confusion takes place even inside sub-sectors of niche magazines. The objective of this international comparative research is to analyse the editorial ideologies and discursive practices concerning the hybridisation of media discourse in one media sector: the Meetings, Incentives, Conferences and Events (MICE) sub-sector of niche magazines. Can these magazines be identified as ‘‘journalistic’’, ‘‘advert’’ or ‘‘mixed’’ oriented media? The empirical research is focused on the production process (the implementation of editorial principles) in key MICE magazines mainly in European countries.",0,1,0,1,0,0,1,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
"Journalists and the information- attention markets: 
Towards an economic theory of journalism",2008,"In this article we suggest economic theory (specifically rational choice theory) as a promising approach to analyze the dramatic changes journalism is currently going through. Referring to the model of the ‘homo economicus maturus’ as well as to previous research by a small but growing number of scholars of mass communication, we describe journalists as rational actors seeking to maximize materialistic and non-materialistic rewards (e.g. attention, reputation, fringe benefits). We explain why, how and under what kind of restrictions journalists trade information for attention with their sources, calculating risks and benefits. Further, we apply economic concepts (free-riding, external effects, and principal-agent theory) to journalism to provide more in-depth explanations for specific developments in journalism such as ‘pack reporting’. We conclude that assuming self-interested behaviour of media professionals will enable scholars of journalism to identify and predict more systematically the failures of journalism and blind spots of media coverage.",0,1,1,1,0,0,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Commercial News Criteria and Investigative Journalism,2006,"Since the 1980s, the commercialisation of the media in Norway has prompted two opposing theories concerning the impact of commercial news criteria; the first suggests it restrains, the second that it stimulates, investigative journalism. But the two theories draw the same normative conclusion, namely that commercialisation has negative implications for the contribution of media to democracy. This article presents the two theories, and puts their empirical assumptions to the test, using the distribution of awards for outstanding investigative journalism as a yardstick. The test results are discussed in the light of economic theory. It seems that critics of media commercialisation have placed too much emphasis on the cost-cutting aspect of a capitalist economy, and too little on capitalism as ‘‘the free-market innovation machine’’. The conclusion is that commercial news criteria stimulate investigative journalism more than they restrain it, and that investigative journalism’s contribution to democracy is more positive than negative.",0,1,0,1,0,0,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Beyond advertising and journalism: hybrid promotional news discourse ,2004,"The aim of this article is to show the usefulness of an expanded version of Fairclough’s Critical Discourse Analysis approach, i.e. an approach that combines text analysis with an analysis of discourse processes in studying text production and interpretation, and also incorporates ethnographic methods, in this case, participant observation and interviews. This expanded approach was checked in the study of illegal promotional news discourse; the study was conducted chronologically in two stages. In the first stage, an analysis of interpractice – which identifies cases in which specific other practices of the process of text production and interpretation are overtly drawn upon within a practice – was used to identify promotional news reports and uncover elements of promotional practice which are drawn upon within journalism, such as having the advertiser, who realizes his/her commercial interest by paying for publishing or killing a certain story, as the key actor in the process of promotional news production. In the second stage, analysis of interdiscursivity revealed how promotional journalism through textual devices (genre, topics, perspective, choice of sources, lexical choice, over-lexicalization, coherence, choice of processes and participants) incorporates discursive elements of promotion which are drawn upon within the news report discourse, such as using representatives of the organization as almost the only participants, partiality, positive-only evaluation of the characteristics/activities of the subject discussed, which is in the interest of those discussed by the texts and not the readers.",0,0,1,1,1,0,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Market-driven journalism: Creating special sections to meet reader interests,2004,"A major shift has occurred since the 1970s in the way newspapers do business, largely due to the impact of marketing research on newsroom decisions. Research used to identify and meet the needs of the newspaper-reading public has become a way of doing business in an increasingly competitive media climate. This national survey of executive and managing editors randomly selected from the Editor and Publisher Yearbook tracks the trend in the USA of creating special sections to meet readers’ interests as identified through marketing and focus group research. It also found that the newsroom staff was responsible for the production of these sections. Previous research has focused on the evolution of marketing practices in newsrooms. This research statistically documented these practices as a national trend.",0,1,1,1,0,1,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Negotiating the Gray Lines: an ethnographic case study of organizational conflict between advertorials and news ,2003,This paper reports an ethnographic case study of how one newspaper organization undertook the redesign of its advertorial products. Examining the design and production of advertorials enables us to see and understand the moments when the values of the interpretive communities of advertorialists (advertising) and journalists are invoked. This case study examines the potential for internal conflict within a news organization as distinctly oppositional interests—advertising and news—seek to control a newspaper’s symbolic goods.,0,1,0,1,0,0,0,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Content Differences Between Daily Newspapers With Strong and Weak Market Orientations,2003,"A content analysis of more than 13,000 items on the main display pages in twelve daily newspapers finds that publications with a strong market orientation publish fewer items about government and public affairs and more items about lifestyle and sports than newspapers with a weak market orientation. But it also finds that content for the public sphere continues to dominate the main display pages of both newspapers that embrace market-driven journalism and those that do not.",0,0,0,1,0,0,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Separating advertising from programme content: The principle and its relevance in communications practice ,2003,"Ostensibly, it is a plausible assumption that advertisements receive greater attention when disguised as editorial content. This assumption does not, however, stand the test of empirical validation. Nevertheless, editorial advertising tips and product placement have now seemingly become acceptable and the precept of separating advertising and programme content is increasingly being breached, not only in radio and television. In newspapers and magazines, too, the grey area between editorial text and advertising is spreading. This practice willingly tolerates violations of binding legal agreements and professional codes of ethics. This paper discusses the future viability of the principle of separating advertising and programme content in advertising, journalism and public relations.",1,1,0,1,0,0,0,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Online Journalism as Market-Driven Journalism,2002,"The development of new communication technology vis-à-vis the lnternet affords scholars the opportunity to consider how new technology will influence the practices of journalism. This study reconsiders John McManus' (1994) conceptions of market-driven journalism by examining how traditional news producers on television, in print, and online tell the news. Three aspects of online journalism (centralization, news structure and flow, and temporality) are examined to demonstrate how journalists and media firms struggle to reconcile commercial and news interests. ",0,1,0,1,0,0,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
On the Deceptive Effectiveness of Labeled and Unlabeled Advertorial Formats ,2001,"This experiment investigates the effects of an advertorial message on 4 dimensions of reader involvement. The use of the advertorial format was found to have increased participants’ perceived message relevance, attention to written message, message elaboration, and message recall over the use of a standard advertisement format. Responses to labeled and unlabeled versions of the same advertorial did not vary significantly. Although participants perceived both labeled and unlabeled advertorials to be advertisements, rather than editorial material, more than two thirds of the participants who were exposed to a labeled advertorial failed to recall the presence of the label. Our findings indicate that the advertorial format fools readers into greater involvement with the advertising message and that the presence of advertorial labels may not be particularly effective in alerting consumers to the true nature of the message.",0,1,0,0,1,0,1,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Information Pollution?: Labeling and Format of Advertorials,2000,"Blurring occurs when advertorials masquerade as editorial items. Newspapers should safeguard editorial credibility by making advertorials distinct from editorial content.

Editorial-like advertising in newspapers, frequently referred to as advertorials, is one of the fastest growing media trends in the advertising industry over the past decade. As Scott Donaton mentioned, ""it is nearly impossible to open any magazine without confronting a special ad section or two or even, occasionally, three...."" Empirical studies track a steady increase in use of advertorials since 1980. Mary Alice Shaver and Regina Louise Lewis attribute the increase in use of innovative editorial and advertising products to the increasingly competitive market that newspapers face.",0,1,0,1,0,0,1,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Advertorials In Magazines: Current Use and Compliance With Industry Guidelines,1996,"Editorial and commercial messages may be confusing to readers. This content analysis of 222 magazine issues found that advertorials often do not make the commercial source evident to the reader. In the 273 advertorials identified, advertising labels were either missing or not prominent. Other design and content elements of the advertorials also frequently violated guidelines established by the American Society of Magazine editors for distinguishing editorial and commercial messages.",1,1,0,1,1,0,1,1,,
,,,,,,,,,,,,
,,Frequencies,2,25,13,25,15,7,15,14,,
